group,time,mu,outcome
4,30,20184.68611777427,20098.8582588906
4,31,20213.609589561678,20251.34861094159
4,32,20237.760791845467,20299.87900262522
4,33,20257.922734827054,20209.805214930126
4,34,20274.751297772495,20190.520970149864
4,35,20288.79545945339,20299.514126146067
4,36,20300.514436077985,20300.31867942368
4,37,20310.292159663644,20311.823607927498
4,38,20318.449482126212,20415.079744450304
4,39,20325.25444336662,20424.614252705363
4,40,20330.93089735258,20297.133505489488
4,41,20335.66574968853,20287.87186057904
4,42,20339.615023882194,20510.73933234825
4,43,20342.908941502046,20264.066799610322
4,44,20345.656173495496,20384.744892055023
4,45,20347.947395792933,20341.934462977057
4,46,20349.85826158988,20264.319498443645
4,47,20351.451884991944,20155.411834417202
4,48,20352.780915649713,20389.56174046737
4,49,20353.8892712509,20280.046153665764
4,50,20354.813583955165,20466.107592297176
5,1,3748.77279511302,3690.663966094139
5,2,4940.221779346998,4907.292495523467
5,3,6222.5701947446805,6209.784298868679
5,4,7547.019256400918,7720.18715065425
5,5,8868.553908255471,8900.164315066568
5,6,10149.641671200474,10069.098362161467
5,7,11361.864864647277,11323.554024163397
5,8,12485.960620932292,12518.249534863236
5,9,13510.84698157692,13468.990407396856
5,10,14432.146169383555,14479.990755197876
5,11,15250.579401633722,15251.048571217356
5,12,15970.466522173929,15877.317518464883
5,13,16598.4493640604,16701.551209840993
5,14,17142.478364681254,17207.903032315528
5,15,17611.05396614669,17746.694213890743
5,16,18012.689898725494,17911.55367393764
5,17,18355.556563895043,18341.31850525032
5,18,18647.2629625783,18616.89073965174
5,19,18894.740425350923,18876.78525226931
5,20,19104.197933054933,19047.19112005605
5,21,19281.125441305838,19435.952478992014
5,22,19430.32753617777,19547.850399293602
5,23,19555.974646853196,19545.122456542824
5,24,19661.662897178376,19688.64186746362
5,25,19750.476599241592,19842.600646178973
5,26,19825.04953601623,19909.787953999734
5,27,19887.622709493102,19860.65652796532
5,28,19940.097291665723,20017.9121884966
5,29,19984.082229783256,20009.934756295064
5,30,20020.936420727896,20010.573837875974
5,31,20051.805655838707,19977.187657418068
5,32,20077.654701804255,20168.502358182406
5,33,20099.294965288256,19968.140915524793
5,34,20117.408217228014,20316.0908350284
5,35,20132.566847223658,20206.846744932398
5,36,20145.25109285341,20258.21237363124
5,37,20155.86365235961,20047.52782193495
5,38,20164.742048034073,20115.38210621415
5,39,20172.169065660397,20168.06896238621
5,40,20178.38155489896,20257.917825094406
5,41,20183.577837858087,20057.765569816045
5,42,20187.92393893832,20111.67492416441
5,43,20191.558818586553,20174.40887988909
5,44,20194.598766806295,20151.264479828293
5,45,20197.141088934477,20222.72734493307
5,46,20199.267196026092,20172.073035297082
5,47,20201.04519486291,20383.046472878446
5,48,20202.532057792385,20287.98746920692
5,49,20203.77543999291,20213.04364953452
5,50,20204.81520105847,20061.155444875396
6,1,3787.473642176043,3721.758482746444
6,2,5096.521032354902,5335.203258714434
6,3,6500.650333241968,6555.5084613078625
6,4,7935.755494298514,7929.420202534221
6,5,9345.502572168576,9307.18718943976
6,6,10686.002062552641,10694.383830624987
6,7,11927.07195183873,11861.509129948627
6,8,13051.191937342903,12995.707410924273
6,9,14051.251160104117,13897.880466835002
6,10,14927.926189086867,14925.304221340963
6,11,15687.207729355961,15756.034467169147
6,12,16338.330605173567,16305.206782028741
6,13,16892.182721770503,16864.767682054764
6,14,17360.166662514555,17334.375803889554
6,15,17753.440923683076,17757.898043603353
6,16,18082.45533623332,18033.210889731246
6,17,18356.70088628791,18316.334851437427
6,18,18584.607465399848,18660.593870361816
6,19,18773.538076408848,19004.989455120558
6,20,18929.841733414993,19145.51894071325
6,21,19058.938583202744,18959.26866651036
6,22,19165.419471583973,19038.995050589827
6,23,19253.148562600265,19177.50135908319
6,24,19325.36212730932,19392.708990503284
6,25,19384.759693837284,19393.08078239728
6,26,19433.585775079977,19303.887914764942
6,27,19473.701671341863,19482.324057135505
6,28,19506.647614521316,19505.916833551408
6,29,19533.695947602137,19331.741543067925
6,30,19555.896238210076,19587.126098427223
6,31,19574.113290763544,19681.648862427937
6,32,19589.05900428122,19430.17530484471
6,33,19601.318959142794,19630.881167351075
6,34,19611.37452977258,19562.426584779198
6,35,19619.62122610748,19599.832237691975
6,36,19626.38387362622,19601.79677156168
6,37,19631.929154558897,19712.790999905956
6,38,19636.475954078312,19771.753457953393
6,39,19640.2038856688,19614.10756750727
6,40,19643.26030942888,19451.278756501735
6,41,19645.76610523425,19696.26506286095
6,42,19647.82041865848,19746.423353877963
6,43,19649.504560415582,19593.08264161078
6,44,19650.885208947904,19593.725042581736
6,45,19652.01703978302,19743.6566517532
6,46,19652.944883652206,19728.16748276977
6,47,19653.70549741725,19818.42135736889
6,48,19654.329016997115,19736.160923011787
6,49,19654.840149212232,19635.263809909295
6,50,19655.259149337187,19593.797127158734
7,1,4013.607840768087,3824.9464593971666
7,2,5370.311328784084,5473.836827206045
7,3,6826.969328854658,6765.7803183382475
7,4,8320.130256292487,8367.040198620038
7,5,9793.282191654396,9600.507813526667
7,6,11201.549367331341,11146.732452709808
7,7,12513.199723695834,12416.87886266886
7,8,13708.913151622251,13684.616018936593
7,9,14779.80765520432,14884.246868786217
7,10,15725.011646301135,15771.342326146252
7,11,16549.294585882166,16653.1972914736
7,12,17261.026932116925,17422.842911019467
7,13,17870.568844279824,17837.533422488144
7,14,18389.08348680806,18434.11471665893
7,15,18827.718863986924,18898.147004107956
7,16,19197.08385866104,19310.628911190925
7,17,19506.944942099108,19411.95940662502
7,18,19766.079839847353,19761.634134045893
7,19,19982.23720278333,19915.42516541784
7,20,20162.163796577417,20119.823235077016
7,21,20311.671435558896,20232.89198325409
7,22,20435.72442394892,20425.551796257085
7,23,20538.534724165107,20568.400535910176
7,24,20623.65676222448,20749.950648305872
7,25,20694.07707208044,20752.256059218722
7,26,20752.296216919767,20910.76884194126
7,27,20800.40189304007,20816.768672207385
7,28,20840.133046306884,20841.209011472438
7,29,20872.93538181326,21046.05756137065
7,30,20900.008947594466,20725.00629462368
7,31,20922.348610576868,20985.45321922666
7,32,20940.778278015077,20886.454197381918
7,33,20955.979691642613,21025.530320392736
7,34,20968.516561924494,20879.93715301244
7,35,20978.85473380668,20969.533985832575
7,36,20987.37899426321,21103.86369852491
7,37,20994.407052372688,20981.21396375385
7,38,21000.201148319542,21093.684592412807
7,39,21004.977680439715,20988.68693763206
7,40,21008.915179866974,20866.421661402277
7,41,21012.160910430262,21053.27627596176
7,42,21014.836326749784,20930.503204792898
7,43,21017.0415853244,21082.08576002147
7,44,21018.859271061658,20946.050696540813
7,45,21020.357474437133,21009.469156187875
7,46,21021.592331584045,21194.225004905635
7,47,21022.610120469122,20842.60612122928
7,48,21023.448990340246,20902.540372914882
7,49,21024.140388337626,21063.018926295837
7,50,21024.71023611527,20937.676418088446
8,1,3821.200152907999,3816.268147939421
8,2,5075.63500142038,5121.256459570882
8,3,6422.994759862862,6346.784864098242
8,4,7807.878708633508,7840.464249620055
8,5,9180.27169788995,9043.59254491911
8,6,10499.660864577092,10662.212765332099
8,7,11736.5624444421,11729.699657664032
8,8,12872.160309081764,12916.665664505304
8,9,13896.8331946756,13812.05357829679
8,10,14808.212363272582,14856.62605125447
8,11,15609.208119660527,15634.497336009686
8,12,16306.254584784954,16347.896995340228
8,13,16907.88044342651,16949.129619165582
8,14,17423.622557548577,17460.449961293947
8,15,17863.249749301893,17763.638391172153
8,16,18236.24293333613,18139.987673099597
8,17,18551.47388831674,18752.75727755448
8,18,18817.030093321227,18720.420136317953
8,19,19040.141920766902,19089.214794140342
8,20,19227.178022683715,19289.920306937354
8,21,19383.683437024243,19359.846325170914
8,22,19514.44216661677,19448.477577377562
8,23,19623.551647473585,19508.28541486464
8,24,19714.500774617893,19826.670505479873
8,25,19790.246234623406,19843.70712563542
8,26,19853.284058254256,19912.907941613004
8,27,19905.714780888742,19906.861445970408
8,28,19949.301569673295,19827.55452994419
8,29,19985.521290537134,20086.96875668126
8,30,20015.60885512809,20101.4557860261
8,31,20040.595387714493,19963.351480469362
8,32,20061.340842490423,19854.833600162023
8,33,20078.561722630853,20027.587421836128
8,34,20092.854531356643,19957.44847802703
8,35,20104.715540631816,20091.270708995515
8,36,20114.557407007356,20160.347048647665
8,37,20122.723104226126,20069.321219617676
8,38,20129.4975831958,20273.448004545684
8,39,20135.117514503545,20100.054247707165
8,40,20139.779418160786,20135.771993771195
8,41,20143.646440267785,20118.656694554735
8,42,20146.853996801703,20157.037273223777
8,43,20149.514470486134,20302.628373825577
8,44,20151.72111726332,20203.50755081937
8,45,20153.551313762593,19967.782922475886
8,46,20155.06925582596,20216.837459455317
8,47,20156.32820012021,20192.41209590641
8,48,20157.372325675926,20200.36045660714
8,49,20158.23827943615,20055.65554493423
8,50,20158.95645920553,20258.452649125054
9,1,3822.114568785206,3761.812836162804
9,2,5134.99622266707,5091.554080676713
9,3,6543.1986200948795,6601.3153714891
9,4,7983.14396050759,8083.428445040875
9,5,9398.822826872281,9196.167201741384
9,6,10746.429378900055,10897.492405478408
9,7,11995.66128817819,11921.344289878127
9,8,13128.744356053587,13230.470671407362
9,9,14138.252924287108,14256.846151422673
9,10,15024.545830296822,14980.407261415692
9,11,15793.331057013826,15971.880856386757
9,12,16453.615258926675,16490.878127050903
9,13,17016.118424639742,16730.736988213153
9,14,17492.132282519528,17635.98680494023
9,15,17892.75357958283,17829.758086599344
9,16,18228.40973055377,18299.625708018393
9,17,18508.598899449087,18441.477610836802
9,18,18741.77904872111,18919.307360666528
9,19,18935.35490741212,19106.956337725915
9,20,19095.725167366967,19037.417450508576
9,21,19228.363312337646,19139.14560092636
9,22,19337.91409466258,19339.743655338476
9,23,19428.29403663927,19417.89088183677
9,24,19502.78885529666,19531.026628175743
9,25,19564.143813078663,19536.359053429947
9,26,19614.645055423152,19622.317978545438
9,27,19656.19130981568,19684.848590394788
9,28,19690.356119006883,19659.312266310317
9,29,19718.441232169702,19721.485561580757
9,30,19741.522001897247,19736.110612935776
9,31,19760.485715547245,19712.915839218473
9,32,19776.063783207075,19910.788385430515
9,33,19788.85864911965,19801.551558167583
9,34,19799.366213146288,19757.939487449472
9,35,19807.994459060006,19958.131734282073
9,36,19815.078896398685,19863.32769352108
9,37,19820.895337506365,19769.744126187623
9,38,19825.67045392811,19961.089428445815
9,39,19829.590487569658,19874.438294295287
9,40,19832.808432089827,19641.23155627739
9,41,19835.44994841445,19710.761146768717
9,42,19837.61823431527,19911.039466661576
9,43,19839.39803083901,19782.042917678293
9,44,19840.858917137404,19780.588508642984
9,45,19842.05801911568,19717.92618187278
9,46,19843.042235532223,20006.121730535382
9,47,19843.850067075407,19952.044707149336
9,48,19844.513118929674,19878.7411146436
9,49,19845.057334916928,20093.202490168747
9,50,19845.504011031342,19760.390644855208
10,1,3885.5015806997153,3846.9580300766447
10,2,5157.661383918531,5208.091811588462
10,3,6521.438808525415,6431.768238027738
10,4,7920.334123972451,7937.258293958136
10,5,9303.695386787182,9342.518236563332
10,6,10630.810749453714,10571.54162948941
10,7,11872.339786050356,11904.801779399864
10,8,13009.83355314942,12957.177290612048
10,9,14034.152413695389,13860.16034656453
10,10,14943.438825025756,14854.18503283074
10,11,15741.086913100833,15704.905903965493
10,12,16433.954885525844,16316.434797919577
10,13,17030.922011931525,17031.890511061105
10,14,17541.80092243377,17551.35905277093
10,15,17976.56741240592,18079.208611115617
10,16,18344.850181633905,18259.183954496406
10,17,18655.620314244097,18674.757905545786
10,18,18917.026443718158,18935.731931915914
10,19,19136.33112590667,19065.566299238555
10,20,19319.913952962423,19312.381391731386
10,21,19473.31590895904,19497.109622289056
10,22,19601.30684264041,19520.96205808293
10,23,19707.963662586582,19676.735678819594
10,24,19796.751127703235,19728.122534868155
10,25,19870.600176153624,19774.965418364034
10,26,19931.98087654754,19934.227465470485
10,27,19982.968531831677,20001.036899045892
10,28,20025.302410438217,19866.106991060988
10,29,20060.437169082183,20182.63242205297
10,30,20089.58737784303,20144.895901172014
10,31,20113.76574120844,20193.56420975865
10,32,20133.81568563677,20201.10297293831
10,33,20150.438994540058,20103.79524178502
10,34,20164.219142379898,20027.751263437083
10,35,20175.640928769695,20042.478039043388
10,36,20185.106952754024,20129.04350962327
10,37,20192.951404119533,20233.123934220785
10,38,20199.451587085205,20233.298245669077
10,39,20204.837534481452,20157.148253172072
10,40,20209.300018757545,20174.080579963596
10,41,20212.997220260087,20227.41694490621
10,42,20216.060273125433,20243.913184387064
10,43,20218.597874476985,20362.807851625574
10,44,20220.700112924857,20171.095496259084
10,45,20222.441647087446,20112.965657168344
10,46,20223.884343446996,20361.04505320036
10,47,20225.079464795337,20292.598915089016
10,48,20226.069485348195,20113.418292690127
10,49,20226.889595881283,20268.303450272884
10,50,20227.56895159588,20236.588347652207
11,1,3700.952287112413,3705.8577318868734
11,2,4899.0597080066555,4889.584808862724
11,3,6185.941772580568,6010.862152411064
11,4,7510.090880484772,7511.205198764872
11,5,8824.741589832805,8982.50425740163
11,6,10091.692776078407,10212.165591287312
11,7,11282.803789523923,11476.267321742584
11,8,12379.767522015141,12428.837068027142
11,9,13372.844363337827,13339.007230681995
11,10,14259.1330150623,14161.061427240296
11,11,15040.780145934486,14928.952448044593
11,12,15723.36440115442,15790.335062062679
11,13,16314.5625297213,16191.016392962492
11,14,16823.121406505903,16719.866486328
11,15,17258.11228601929,17234.08807946995
11,16,17628.42206958795,17742.344832851515
11,17,17942.430934264677,17937.439740375685
11,18,18207.82901224117,18234.421533602766
11,19,18431.532053136867,18317.667706494012
11,20,18619.664254099163,18670.751934198608
11,21,18777.58418411744,18777.7755573045
11,22,18909.936302268416,19024.620082891743
11,23,19020.715810130096,18783.985153525773
11,24,19113.33857174426,18983.452407788365
11,25,19190.710770132926,19189.977572067808
11,26,19255.295061574747,19332.85267758386
11,27,19309.171436506145,19282.877937088153
11,28,19354.091966878474,19449.36254880615
11,29,19391.529247673512,19438.80531917233
11,30,19422.718727186068,19346.308076384266
11,31,19448.695342374594,19476.98069064182
11,32,19470.3249868892,19506.561889830493
11,33,19488.331379168296,19551.249704450893
11,34,19503.318893252355,19522.328595915224
11,35,19515.791884087197,19487.63461496199
11,36,19526.17099433792,19724.957338371634
11,37,19534.80687906586,19418.504917052196
11,38,19541.99173302911,19481.605588570554
11,39,19547.96895583527,19462.65978820925
11,40,19552.941244349804,19387.720317206047
11,41,19557.07736041971,19645.666033653142
11,42,19560.517785336164,19585.743652885565
11,43,19563.379440424007,19447.601565015313
11,44,19565.759625413306,19590.61023870219
11,45,19567.73930242796,19581.411601803084
11,46,19569.385833090666,19480.6090775223
11,47,19570.755258967194,19643.228018076534
11,48,19571.89420095245,19556.38780827768
11,49,19572.841440866832,19669.770189230483
11,50,19573.629238152418,19422.385819836843
12,1,4061.0790536588484,3947.668479664191
12,2,5566.45728950939,5560.0392683803775
12,3,7174.65245053259,7121.910158799028
12,4,8800.743942397363,8714.542251078421
12,5,10373.60234435981,10392.549632936883
12,6,11841.540881573848,11853.680400367335
12,7,13172.65143765549,13047.206482524542
12,8,14351.993736875966,14328.081861638138
12,9,15377.517151925409,15352.212019250586
12,10,16255.95574094797,16259.083182323622
12,11,16999.335345843538,16964.44968420849
12,12,17622.308142124566,17821.689332101098
12,13,18140.2881376438,18216.202698783858
12,14,18568.252693831266,18639.116421115512
12,15,18920.047478983903,18904.404311771123
12,16,19208.04533786886,19180.722401196264
12,17,19443.038269001023,19480.31630744627
12,18,19634.272536508117,19619.564392654083
12,19,19789.563860001203,19938.86036458717
12,20,19915.450747965704,19665.725537146383
12,21,20017.359518834874,20071.73739840111
12,22,20099.765334032472,20247.78705399585
12,23,20166.34075902786,20236.100035991232
12,24,20220.087971335368,20405.672570745963
12,25,20263.453547363388,20513.055121464462
12,26,20298.426378777327,20402.106866569535
12,27,20326.620117276198,20208.956301761165
12,28,20349.341915199588,20455.57210081751
12,29,20367.64931193792,20505.613126386932
12,30,20382.397038311392,20224.21922561266
12,31,20394.275352045664,20307.421013198382
12,32,20403.841325445293,20297.927265415346
12,33,20411.544309507117,20445.648004130708
12,34,20417.746612430736,20309.95207317658
12,35,20422.74026228339,20357.52364530301
12,36,20426.760576243923,20343.967312394783
12,37,20429.997132459357,20501.38248299134
12,38,20432.602633727005,20370.365572136656
12,39,20434.70006292134,20661.2322592246
12,40,20436.38845605668,20614.843386577064
12,41,20437.74755788973,20312.020858654603
12,42,20438.84157496719,20354.25862976694
12,43,20439.722200188407,20490.752249439767
12,44,20440.43104970071,20381.738425512158
12,45,20441.00162593164,20368.79627228093
12,46,20441.46089865723,20318.462573503744
12,47,20441.830578269546,20290.539710819092
12,48,20442.128141062934,20393.628183822526
12,49,20442.367654769234,20482.847323146063
12,50,20442.560443215094,20555.827604828646
13,1,3799.5527554364908,3971.6253992141983
13,2,5064.259340252263,4904.515521295315
13,3,6422.682333662122,6538.091477212099
13,4,7817.484895128729,7791.753420316732
13,5,9197.189597666997,9166.335959903468
13,6,10520.44431368739,10530.353594159245
13,7,11757.516908345038,11883.977014858778
13,8,12889.80095514104,12791.370666274075
13,9,13908.179379416708,14089.087356589342
13,10,14810.93255555969,14610.736420798938
13,11,15601.65002798253,15404.37394666448
13,12,16287.399271518918,16268.178822123547
13,13,16877.254165763185,16788.818564907404
13,14,17381.19163871458,17440.475044573253
13,15,17809.31528999557,17877.00594710275
13,16,18171.345156988496,18117.768933313604
13,17,18476.310792240543,18622.30355154137
13,18,18732.391698079562,18646.345744311595
13,19,18946.85940167463,18916.209859508224
13,20,19126.08597362515,19148.6989411929
13,21,19275.59311966677,19228.286144549686
13,22,19400.123582431923,19440.150665711084
13,23,19503.72245871947,19427.132626193124
13,24,19589.820379234832,19637.42731410661
13,25,19661.31360014632,19706.78663506484
13,26,19720.638203645936,19737.708323337036
13,27,19769.837044758206,19671.300732989133
13,28,19810.619012677787,19515.100346928335
13,29,19844.4107495223,19934.868566039873
13,30,19872.4013006803,19809.25625756942
13,31,19895.580340514265,19972.736649646467
13,32,19914.770682562823,19833.999083828785
13,33,19930.655784269322,20043.66843642608
13,34,19943.80291947209,19902.302947577587
13,35,19954.682635146568,19874.130103211657
13,36,19963.685043586065,20102.10101342051
13,37,19971.133434420106,20022.284019413393
13,38,19977.29562677139,19949.140545487004
13,39,19982.393422710556,20230.653531777672
13,40,19986.610470023596,19982.793147887085
13,41,19990.098795436985,19968.34723390137
13,42,19992.98422867527,19994.88877134951
13,43,19995.370902626422,20083.164165077087
13,44,19997.344984913834,19895.773173794623
13,45,19998.977770731046,19933.35210828221
13,46,20000.328245306817,20143.26208252776
13,47,20001.445206290235,20043.107209010435
13,48,20002.369021184604,19974.227119210107
13,49,20003.133082276407,20104.886358658394
13,50,20003.76501091848,20023.009820272615
14,1,3822.4205054326376,3940.609564907599
14,2,5053.798252090889,5095.676125684057
14,3,6374.76183520483,6263.3125167997805
14,4,7732.488856717209,7741.8782072533295
14,5,9079.178299960495,9164.987083775794
14,6,10375.905730772778,10234.930666997296
14,7,11594.099016613925,11545.917659169952
14,8,12715.262187912447,12837.578540982191
14,9,13729.650556529785,13702.023552637453
14,10,14634.485161713306,14676.139448623599
14,11,15432.114659622075,15374.897862208498
14,12,16128.362177895351,16185.356462710026
14,13,16731.164505818586,16760.32208872388
14,14,17249.52586524261,17168.85325471975
14,15,17692.760724728883,17679.586093642676
14,16,18069.978651610825,17990.432876350267
14,17,18389.759040403973,18285.42048479842
14,18,18659.967223090036,18788.992436764423
14,19,18887.671015613207,18731.63117998935
14,20,19079.125262370686,18908.66264797332
14,21,19239.799880610688,19208.81737585304
14,22,19374.43362743397,19528.462444928122
14,23,19487.101157949073,19553.437473037226
14,24,19581.28500902734,19773.67186664712
14,25,19659.947127363055,19642.331959786898
14,26,19725.596684112887,19832.378410280147
14,27,19780.352385402402,19999.3957158112
14,28,19825.998470166858,19866.051616316992
14,29,19864.034220505706,19868.053358343117
14,30,19895.717199041068,20012.157068503508
14,31,19922.10064975297,20089.97352748221
14,32,19944.06560913254,20058.245631507416
14,33,19962.34831268495,20008.36334678152
14,34,19977.5634751955,20003.431056779544
14,35,19990.223990363334,19984.93361896138
14,36,20000.757548796915,19934.237802778833
14,37,20009.520620982927,20067.32855315701
14,38,20016.810198711537,20156.953333240075
14,39,20022.873637557906,19924.910275330178
14,40,20027.91689602284,19948.078652206623
14,41,20032.11142458696,19999.214758456244
14,42,20035.599920441433,20192.65096119422
14,43,20038.501130899294,19984.535761166804
14,44,20040.91386015045,19817.0055259234
14,45,20042.920309692778,20111.92521731959
14,46,20044.588862010052,19903.756073187153
14,47,20045.976399435636,20096.48157440972
14,48,20047.13023522486,19982.29822209615
